# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)rho_lambda         16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_dcdm           19:gr.fac. D             20:gr.fac. f          
       2.485876017524e+08       1.223136882735e-14       1.864485915576e-03       1.333281130640e+11       1.461294431846e+04       5.878388204667e-05       3.632596797280e+12       1.076460721963e-03       1.050744043999e+22       3.765745066806e+16       1.709216170482e+13       1.567797671562e-34       1.477436263180e+02       4.913683790620e+01       4.385135802907e-08       7.268720405640e+21       1.777638573321e+22       1.872130370624e+17       5.211163943164e-02       7.749230549759e-02 
       2.468595846148e+08       1.240320696569e-14       1.877537275504e-03       1.314809431561e+11       1.461294430541e+04       5.919536917724e-05       3.607345375845e+12       1.083995918086e-03       1.021830953936e+22       3.687758765551e+16       1.673819338031e+13       1.535329530636e-34       1.436804731663e+02       4.778401318263e+01       4.385135802907e-08       7.068708643565e+21       1.728723841322e+22       1.833359683686e+17       5.213980871541e-02       7.745045797963e-02 
       2.451435795130e+08       1.257745925038e-14       1.890679994176e-03       1.296593645651e+11       1.461294429227e+04       5.960973671711e-05       3.582269485642e+12       1.091583860176e-03       9.937134589351e+21       3.611387513385e+16       1.639155552553e+13       1.503533785253e-34       1.397290929336e+02       4.646842433831e+01       4.385135802907e-08       6.874200560613e+21       1.681155081942e+22       1.795391914205e+17       5.216797800604e-02       7.740865578826e-02 
       2.434395029471e+08       1.275415959759e-14       1.903914711875e-03       1.278630227399e+11       1.461294427903e+04       6.002700482913e-05       3.557367906493e+12       1.099224917447e-03       9.663696667834e+21       3.536597863619e+16       1.605209633088e+13       1.472396510509e-34       1.358864104355e+02       4.518904661424e+01       4.385135802907e-08       6.685044713272e+21       1.634895258418e+22       1.758210434245e+17       5.219614730361e-02       7.736689885112e-02 
       2.417472719978e+08       1.293334239999e-14       1.917242072523e-03       1.260915680416e+11       1.461294426570e+04       6.044719381730e-05       3.532639426703e+12       1.106919461702e-03       9.397782876723e+21       3.463357062225e+16       1.571966713065e+13       1.554311752371e-34       1.478734000803e+02       4.918207359794e+01       4.385135802907e-08       6.501093825268e+21       1.589908353118e+22       1.721798960227e+17       5.222431660816e-02       7.732518709601e-02 
       2.400668043223e+08       1.311504253342e-14       1.930662723680e-03       1.243446556751e+11       1.461294425228e+04       6.087032412775e-05       3.508082842999e+12       1.114667867343e-03       9.139186176198e+21       3.391633033492e+16       1.539412233793e+13       1.522122896649e-34       1.438066354447e+02       4.782801706512e+01       4.385135802907e-08       6.322204672893e+21       1.546159339497e+22       1.686141545794e+17       5.225248591973e-02       7.728352045091e-02 
       2.383980181500e+08       1.329929536370e-14       1.944177318364e-03       1.226219456226e+11       1.461294423877e+04       6.129641634972e-05       3.483696960472e+12       1.122470511393e-03       8.887705223508e+21       3.321394365975e+16       1.507531938079e+13       1.490600652644e-34       1.398517436780e+02       4.651123012001e+01       4.385135802907e-08       6.148237973497e+21       1.503614154828e+22       1.651222574829e+17       5.228065523840e-02       7.724189884395e-02 
       2.367408322788e+08       1.348613675348e-14       1.957786515050e-03       1.209231025767e+11       1.461294422516e+04       6.172549121659e-05       3.459480592521e+12       1.130327773516e-03       8.643144216204e+21       3.252610298743e+16       1.476311863990e+13       1.459731215230e-34       1.360056468374e+02       4.523068707873e+01       4.385135802907e-08       5.979058277036e+21       1.462239673678e+22       1.617026754614e+17       5.230882456421e-02       7.720032220342e-02 
       2.350951660710e+08       1.367560306926e-14       1.971490974029e-03       1.192477958756e+11       1.461294421145e+04       6.215756960686e-05       3.435432560792e+12       1.138240036032e-03       8.405312739690e+21       3.185250707905e+16       1.445738338737e+13       1.429501065178e-34       1.322653516688e+02       4.398539048293e+01       4.385135802907e-08       5.814533860618e+21       1.422003682118e+22       1.583539109135e+17       5.233699389721e-02       7.715879045779e-02 
       2.334609394496e+08       1.386773118844e-14       1.985291364690e-03       1.175956994385e+11       1.461294419765e+04       6.259267254518e-05       3.411551695122e+12       1.146207683937e-03       8.174025618967e+21       3.119286093417e+16       1.415797972684e+13       1.399896963234e-34       1.286279472772e+02       4.277437032308e+01       4.385135802907e-08       5.654536625938e+21       1.382874852642e+22       1.550744972522e+17       5.236516323747e-02       7.711730353568e-02 
       2.318380728941e+08       1.406255850651e-14       1.999188358241e-03       1.159664917023e+11       1.461294418376e+04       6.303082120338e-05       3.387836833485e+12       1.154231104923e-03       7.949102774454e+21       3.054687566164e+16       1.386477653488e+13       1.506207275310e-34       1.440280615657e+02       4.790419945762e+01       4.385135802907e-08       5.498941999545e+21       1.344822719774e+22       1.518629982627e+17       5.239333258503e-02       7.707586136586e-02 
       2.302264874368e+08       1.426012294432e-14       2.013182629526e-03       1.143598555590e+11       1.461294416976e+04       6.347203690150e-05       3.364286821928e+12       1.162310689396e-03       7.730369081780e+21       2.991426835307e+16       1.357764540353e+13       1.475014634166e-34       1.400670282244e+02       4.658533173668e+01       4.385135802907e-08       5.347628835848e+21       1.307817656348e+22       1.487180074732e+17       5.242150193995e-02       7.703446387729e-02 
       2.286261046589e+08       1.446046295547e-14       2.027274858847e-03       1.127754782939e+11       1.461294415567e+04       6.391634110879e-05       3.340900514523e+12       1.170446830492e-03       7.517654235433e+21       2.929476195890e+16       1.329646058411e+13       1.444467973737e-34       1.362149594937e+02       4.530276495144e+01       4.385135802907e-08       5.200479322790e+21       1.271830850443e+22       1.456381475392e+17       5.244967130229e-02       7.699311099906e-02 
       2.270368466869e+08       1.466361753380e-14       2.041465733782e-03       1.112130515248e+11       1.461294414148e+04       6.436375544482e-05       3.317676773306e+12       1.178639924102e-03       7.310792616159e+21       2.868808516716e+16       1.302109893208e+13       1.414553916155e-34       1.324688574410e+02       4.405550007739e+01       4.385135802907e-08       5.057378890125e+21       1.236834282946e+22       1.426220696400e+17       5.247784067211e-02       7.695180266045e-02 
       2.254586361883e+08       1.486962622094e-14       2.055755945548e-03       1.096722711418e+11       1.461294412719e+04       6.481430168047e-05       3.294614468225e+12       1.186890368887e-03       7.109623162012e+21       2.809397228452e+16       1.275143985318e+13       1.385259360598e-34       1.288258066210e+02       4.284256558190e+01       4.385135802907e-08       4.918216120210e+21       1.202800705740e+22       1.396684528884e+17       5.250601004946e-02       7.691053879087e-02 
       2.238913963685e+08       1.507852911407e-14       2.070146187179e-03       1.081528372483e+11       1.461294411280e+04       6.526800173903e-05       3.271712477082e+12       1.195198566298e-03       6.913989242953e+21       2.751216312005e+16       1.248736525057e+13       1.356571477553e-34       1.252829718064e+02       4.166301666773e+01       4.385135802907e-08       4.782882661256e+21       1.169703620486e+22       1.367760037518e+17       5.253417943440e-02       7.686931931991e-02 
       2.223350509664e+08       1.529036687368e-14       2.084637158987e-03       1.066544541027e+11       1.461294409831e+04       6.572487769726e-05       3.248969685480e+12       1.203564920597e-03       6.723738538894e+21       2.694240287118e+16       1.222875947312e+13       1.328477703200e-34       1.218375957806e+02       4.051593453728e+01       4.385135802907e-08       4.651273142965e+21       1.137517257995e+22       1.339434554859e+17       5.256234882698e-02       7.682814417732e-02 
       2.207895242514e+08       1.550518073149e-14       2.099229566738e-03       1.051768300606e+11       1.461294408372e+04       6.618495178644e-05       3.226384986769e+12       1.211989838875e-03       6.538722921110e+21       2.638444201218e+16       1.197550926479e+13       1.454614339410e-34       1.400514957112e+02       4.658296329247e+01       4.385135802907e-08       4.523285094493e+21       1.106216558159e+22       1.311695675800e+17       5.259051822728e-02       7.678701329299e-02 
       2.192547410190e+08       1.572301249847e-14       2.113924121659e-03       1.037196775180e+11       1.461294406902e+04       6.664824639347e-05       3.203957281992e+12       1.220473731072e-03       6.358798336895e+21       2.583803618482e+16       1.172750371497e+13       1.424490156710e-34       1.361997968219e+02       4.530048006846e+01       4.385135802907e-08       4.398818864660e+21       1.075777150444e+22       1.284531252135e+17       5.261868763533e-02       7.674592659700e-02 
       2.177306265877e+08       1.594390457302e-14       2.128721538611e-03       1.022827128558e+11       1.461294405422e+04       6.711478406197e-05       3.181685479830e+12       1.229017010000e-03       6.183824697413e+21       2.530294609139e+16       1.148463420996e+13       1.394989827598e-34       1.324540552476e+02       4.405329619075e+01       4.385135802907e-08       4.277777544368e+21       1.046175334915e+22       1.257929387241e+17       5.264685705121e-02       7.670488401955e-02 
       2.162171067948e+08       1.616789994915e-14       2.143622534277e-03       1.008656563841e+11       1.461294403932e+04       6.758458749337e-05       3.159568496550e+12       1.237620091358e-03       6.013665768621e+21       2.477893738989e+16       1.124679438539e+13       1.366100432446e-34       1.288113557896e+02       4.284044020107e+01       4.385135802907e-08       4.160066891143e+21       1.017388063779e+22       1.231878430866e+17       5.267502647498e-02       7.666388549104e-02 
